Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          
                           cm3/cm3    cm3/cm3    1/cm       no units   cm/day     cm/day     no units   
4001533  4000206            0.02711    0.31107    0.04972    1.34599   26.74316   26.82367   -1.69235 
4001535  4000207            0.04446    0.37513    0.03563    1.51291   49.08826   21.06448   -1.05708 
4001536  4000207            0.04505    0.38477    0.03343    1.49719   50.80545   19.78471   -1.01435 
4001537  4000207            0.04744    0.39904    0.03089    1.49613   56.99700   18.42010   -0.94133 
4001538  4000207            0.04802    0.40553    0.02909    1.48137   57.89162   17.14087   -0.90302 
4001539  4000207            0.04640    0.39790    0.03166    1.50135   59.31712   19.32085   -0.94347 
4001540  4000207            0.03913    0.27504    0.04559    1.72365   32.92691   30.69144   -1.10546 
4001542  4000208            0.08940    0.44344    0.01202    1.39513    7.14513    2.79639   -0.67995 
4001543  4000208            0.08735    0.43869    0.01154    1.41193    7.13577    2.73547   -0.61401 
4001564  4000211            0.08324    0.44791    0.00696    1.55401    7.54067    1.80435   -0.05441 
4001565  4000211            0.08632    0.45095    0.00770    1.51776    6.61036    1.90135   -0.16005 
4001566  4000211            0.08928    0.45540    0.00865    1.47946    5.98402    2.05575   -0.28215 
4001569  4000211            0.09128    0.45908    0.00938    1.45398    5.67809    2.18252   -0.37265 
4001572  4000211            0.08855    0.45627    0.00830    1.49195    5.87836    2.00515   -0.23257 
4001590  4000214            0.04297    0.42703    0.01983    1.45311   94.01408   11.70981   -0.51116 
4001591  4000214            0.04349    0.39759    0.02398    1.45183   51.53625   13.21176   -0.79067 
4001592  4000214            0.04292    0.40445    0.02854    1.46625   66.62635   17.61050   -0.86078 
4001593  4000214            0.03916    0.40427    0.03706    1.52988  100.99980   28.08176   -0.91089 
4001594  4000214            0.04784    0.36602    0.03234    1.41088   27.41831   15.25658   -1.24260 
4001595  4000214            0.06076    0.40721    0.02448    1.42005   32.71506   10.57985   -1.01778 
4001596  4000214            0.05097    0.38857    0.03353    1.83362  116.88408   22.69310   -0.86067 
4001597  4000214            0.04770    0.36089    0.03606    1.76253   82.99070   23.00745   -0.96029 
4001598  4000214            0.05673    0.39220    0.02186    1.40085   20.99955    8.89732   -0.98622 
4001599  4000214            0.06319    0.46026    0.01986    1.44157   65.09460    9.83295   -0.63091 
4001600  4000214            0.05819    0.44658    0.02909    1.55940  107.05567   19.47609   -0.77320 
4001614  4000217            0.08856    0.48495    0.00745    1.53652   14.15113    2.02457   -0.03081 
4001615  4000217            0.09253    0.50644    0.00852    1.49828   17.73545    2.36057   -0.12318 
4001616  4000217            0.09211    0.50771    0.00831    1.50564   19.00480    2.32987   -0.09137 
4001617  4000217            0.09020    0.50598    0.00758    1.53282   21.22389    2.17604    0.00647 
4001618  4000217            0.08779    0.49813    0.00693    1.56060   22.13655    2.01190    0.08232 
4001620  4000217            0.08619    0.48009    0.00684    1.56425   15.68615    1.90702    0.04748 
4001621  4000217            0.08456    0.47135    0.00662    1.57501   14.06987    1.84104    0.05899 
4001626  4000218            0.07466    0.41784    0.00617    1.60119   10.28184    1.67829    0.00726 
4001627  4000218            0.08370    0.43429    0.00808    1.51198    7.40588    1.97697   -0.23297 
4001628  4000218            0.09141    0.44890    0.01217    1.38526    6.93335    2.78046   -0.71244 
4001629  4000218            0.09074    0.44684    0.01228    1.38520    7.08439    2.82355   -0.71940 
4001631  4000219            0.08106    0.48308    0.00558    1.63203   33.80483    1.73958    0.26609 
4001632  4000219            0.09085    0.49217    0.00831    1.50910   18.43521    2.24027   -0.12464 
4001633  4000219            0.09717    0.49145    0.01159    1.40800   10.97880    2.84224   -0.56279 
4001634  4000219            0.09662    0.47734    0.01203    1.38638    7.61363    2.78926   -0.66741 
4001635  4000219            0.09135    0.46554    0.00929    1.46709    8.31478    2.22988   -0.33290 
4001636  4000219            0.08052    0.47065    0.00575    1.62357   23.18278    1.72748    0.20414 
4001637  4000219            0.08241    0.47443    0.00603    1.60682   22.66717    1.77081    0.16349 
4001638  4000219            0.08275    0.47633    0.00607    1.60470   22.28597    1.78291    0.16253 
4001647  4000221            0.08128    0.50256    0.00937    1.51711   54.68490    3.16913   -0.04967 
