sam_id	ped_id	hz_tp	hz_bt	sand_tot	silt_tot	clay_tot	db_13b		w3cld	w15ad
sam_id	ped_id	hz_tp	hz_bt	sand_tot	silt_tot	clay_tot	db_13b		w3cld	w15ad
4002383	4000324	4	28	70.09999847	25.10000038	4.800000191	1.450000048	0.560000002	0.166749999	0.042050004
4002384	4000324	28	46	66	27.39999962	6.599999905	1.450000048	0.170000002	0.160950005	0.040600002
4002385	4000324	46	63	69.59999847	21.70000076	8.699999809	1.450000048	0.119999997	0.107300006	0.053650003
4002386	4000324	63	81	83.30000305	10.30000019	6.400000095	1.450000048	0.079999998	0.081200004	0.039150003
4002387	4000324	81	137	94.40000153	1.799999952	3.799999952	1.450000048	0.039999999	0.062350005	0.020300001
4002389	4000325	0	4	71	25.5	3.5	1.450000048	2.599999905	0.208800003	0.053650003
4002390	4000325	4	36	63	29.89999962	7.099999905	1.450000048	0.639999986	0.205899999	0.060899999
4002391	4000325	36	61	61.90000153	27.20000076	10.89999962	1.450000048	0.200000003	0.176899999	0.065250002
4002392	4000325	61	81	78.40000153	13.60000038	8	1.450000048	0.119999997	0.076850004	0.044950001
4002393	4000325	81	168	87.19999695	8	4.800000191	1.450000048	0.039999999	0.072500005	0.030449999
4002402	4000326	8	10	75	21.20000076	3.799999952	1.450000048	1.019999981	0.201550007	0.069600008
4002403	4000326	10	33	79.69999695	16.10000038	4.199999809	1.450000048	0.280000001	0.163850009	0.029000001
4002404	4000326	33	61	75.59999847	15.69999981	8.699999809	1.450000048	0.200000003	0.13485001	0.050750002
4002406	4000326	76	117	93.19999695	3.200000048	3.599999905	1.450000048	0.039999999	0.065250002	0.021750001
4002411	4000327	5	33	73.09999847	23.20000076	3.700000048	1.450000048	0.800000012	0.247950017	0.036250003
4002412	4000327	33	48	70.19999695	24.89999962	4.900000095	1.450000048	0.159999996	0.150800005	0.024650002
4002413	4000327	48	53	67.09999847	26.10000038	6.800000191	1.450000048	0.109999999	0.160950005	0.033349998
4002414	4000327	53	71	61.59999847	22.5	15.89999962	1.450000048	0.159999996	0.189950019	0.079750001
4002415	4000327	71	81	75.40000153	12.10000038	12.5	1.450000048	0.079999998	0.139200017	0.102949999
4002416	4000327	81	97	93.30000305	2.900000095	3.799999952	1.450000048	-9.9	0.082649998	0.0174
4002417	4000327	97	109	82.5	14.30000019	3.200000048	1.450000048	0.039999999	0.130500004	0.020300001
4002418	4000328	0	18	78.59999847	17.70000076	4.099999905	1.450000048	1.379999995	0.232000008	0.0638
4002419	4000328	18	41	77.5	19.5	4.800000191	1.450000048	0.319999993	0.13775	0.029000001
4002420	4000328	41	48	71.90000153	16.5	8.600000381	1.450000048	0.189999998	0.1479	0.042050004
4002421	4000328	48	69	65.40000153	16.5	18.10000038	1.450000048	0.289999992	0.163850009	0.092800006
4002422	4000328	69	94	80.59999847	5.900000095	13.5	1.450000048	0.150000006	0.130500004	0.075400002
4002423	4000328	94	0	94.69999695	0.300000012	5	1.450000048	0.039999999	0.066700004	0.029000001
4002427	4000329	0	25	60.40000153	32.09999847	7.5	1.450000048	1.480000019	0.220400006	0.058000002
4002428	4000329	25	41	71.19999695	22.60000038	6.199999809	1.450000048	0.280000001	0.162400007	0.039150003
4002429	4000329	41	58	59.09999847	33.90000153	7	1.450000048	0.170000002	0.152250007	0.043500002
4002430	4000329	58	76	76.90000153	14.89999962	8.199999809	1.450000048	0.079999998	0.12470001	0.046400003
4002431	4000329	76	122	85	10.5	4.5	1.450000048	0.039999999	0.076850004	0.027550001
4002432	4000329	122	152	92.90000153	2.599999905	4.5	1.450000048	0.02	0.044950001	0.024650002
4002433	4000330	0	20	74.19999695	22.39999962	3.400000095	1.450000048	0.550000012	0.250849992	0.040600002
4002434	4000330	20	38	87.5	7.5	5	1.450000048	0.25999999	0.158050001	0.030449999
4002435	4000330	38	53	73.30000305	20.39999962	6.300000191	1.450000048	0.140000001	0.131950006	0.033349998
4002436	4000330	53	76	63.29999924	22.39999962	14.30000019	1.450000048	0.150000006	0.205899999	0.076850004
4002437	4000330	76	86	76.59999847	12.39999962	11	1.450000048	0.079999998	0.131950006	0.062350005
4002438	4000330	86	94	92.30000305	3.900000095	3.799999952	1.450000048	0.039999999	0.0638	0.023200002
4002441	4000331	15	28	72.69999695	20.79999924	6.5	1.450000048	0.560000002	0.146450013	0.042050004
4002442	4000331	28	43	68	23.10000038	8.899999619	1.450000048	0.280000001	0.142100006	0.046400003
4002443	4000331	43	79	68.09999847	23.10000038	8.800000191	1.450000048	0.100000001	0.13775	0.056550004
4002444	4000331	79	94	73.19999695	15.69999981	11.10000038	1.450000048	-9.9	0.107300006	0.056550004
4002445	4000331	94	117	81.59999847	12.60000038	5.800000191	1.450000048	0.039999999	0.087000005	0.030449999
4002449	4000332	0	8	67.5	26.29999924	6.199999809	1.450000048	1.370000005	0.239250004	0.058000002
4002450	4000332	8	30	65.80000305	27.20000076	7	1.450000048	0.519999981	0.214600012	0.043500002
4002451	4000332	30	58	62	28.60000038	9.399999619	1.450000048	0.159999996	0.178350002	0.047850002
4002452	4000332	58	84	56.29999924	27.20000076	16.5	1.450000048	0.170000002	0.216049999	0.089900002
4002453	4000332	84	94	73.09999847	17.79999924	9.100000381	1.450000048	0.079999998	0.1479	0.053650003
4002454	4000332	94	122	95.59999847	1.399999976	3	1.450000048	0.02	0.031900004	0.024650002
4002457	4000333	0	10	87.90000153	9.399999619	2.700000048	1.450000048	1	0.143549994	0.050750002
4002458	4000333	10	43	86.80000305	9.100000381	4.099999905	1.450000048	0.400000006	0.101500005	0.036250003
4002459	4000333	43	58	79.69999695	10.5	9.800000191	1.450000048	0.159999996	0.111649998	0.056550004
4002460	4000333	58	86	72.59999847	10.39999962	17	1.450000048	0.119999997	0.197200015	0.111649998
4002461	4000333	86	152	76.19999695	11.89999962	12.19999981	1.450000048	0.059999999	0.160950005	0.076850004
4002466	4000335	0	10	58.79999924	33.90000153	7.300000191	1.450000048	1.399999976	0.298700005	0.076850004
4002467	4000335	10	25	56.70000076	35.29999924	8	1.450000048	0.370000005	0.185600013	0.056550004
4002468	4000335	25	38	52.79999924	37	10.19999981	1.450000048	0.379999995	0.189950019	0.07395
4002469	4000335	38	56	45.79999924	33.40000153	15.89999962	1.450000048	0.25999999	0.169650003	0.118900001
4002470	4000335	56	69	65.90000153	3.200000048	30.89999962	1.450000048	0.059999999	0.201550007	0.17400001
4002480	4000336	20	33	50.40000153	38.09999847	11.5	1.450000048	0.239999995	0.160950005	0.058000002
4002481	4000336	33	43	49	32.09999847	18.89999962	1.450000048	0.180000007	0.189950019	0.098600008
4002482	4000336	43	183	66.59999847	4.699999809	28.70000076	1.450000048	0.079999998	0.166749999	0.142100006
4002498	4000339	0	13	66.19999695	26	7.800000191	1.450000048	2.579999924	0.427750021	0.126149997
4002499	4000339	13	36	68.40000153	23.39999962	8.199999809	1.450000048	0.300000012	0.194299996	0.053650003
4002500	4000339	36	53	67.69999695	21.79999924	10.5	1.450000048	0.150000006	0.205899999	0.056550004
4002501	4000339	53	86	64.90000153	13.80000019	21.29999924	1.450000048	0.129999995	0.234900013	0.120350011
4002502	4000339	86	104	74.80000305	9.5	15.69999981	1.450000048	0.039999999	0.192850009	0.08845
4002503	4000339	104	274	82.90000153	6.900000095	10.19999981	1.450000048	0.039999999	0.139200017	0.059450001
4002509	4000340	3	20	63.79999924	25.20000076	11	1.450000048	0.959999979	0.294349998	0.082649998
4002510	4000340	20	33	65	26.20000076	8.800000191	1.450000048	0.280000001	0.194299996	0.060899999
4002511	4000340	33	41	63.79999924	27.10000038	9.100000381	1.450000048	0.200000003	0.205899999	0.060899999
4002512	4000340	41	58	57.59999847	25.5	16.89999962	1.450000048	0.129999995	0.240700006	0.111649998
4002513	4000340	58	71	55.90000153	23.70000076	20.39999962	1.450000048	0.109999999	0.255200028	0.118900001
4002514	4000340	71	97	62.70000076	18.39999962	18.89999962	1.450000048	0.059999999	0.195750013	0.111649998
4002515	4000340	97	112	78.69999695	9.800000191	11.5	1.450000048	-9.9	0.097149998	0.068149999
4002517	4000341	0	10	54.5	33	12.5	1.450000048	2.279999971	0.381350011	0.163850009
4002518	4000341	10	25	53.70000076	33.59999847	12.69999981	1.450000048	1.440000057	0.285650015	0.104400001
4002519	4000341	25	41	55.5	31.89999962	12.60000038	1.450000048	0.49000001	0.268250018	0.087000005
4002520	4000341	41	69	47.20000076	28	24.79999924	1.450000048	0.200000003	0.324800014	0.159500003
4002521	4000341	69	84	52.20000076	25.79999924	22	1.450000048	0.129999995	0.269700021	0.089900002
4002522	4000341	84	99	76.30000305	11.30000019	12.39999962	1.450000048	0.039999999	0.168200016	0.082649998
4002523	4000341	99	183	88.59999847	5.699999809	5.699999809	1.450000048	0.039999999	0.098600008	0.046400003
4002528	4000342	0	8	31.89999962	57.70000076	10.39999962	1.450000048	5.199999809	0.474150032	0.13485001
4002529	4000342	8	33	33.5	55	11.5	1.450000048	0.939999998	0.327700019	0.075400002
4002530	4000342	33	41	27.29999924	60	12.69999981	1.450000048	0.280000001	0.298700005	0.076850004
4002531	4000342	41	51	20.89999962	59.70000076	19.39999962	1.450000048	0.25999999	0.326250017	0.110200003
4002532	4000342	51	63	17.20000076	59.59999847	23.20000076	1.450000048	0.239999995	0.317550004	0.143549994
4002533	4000342	63	74	38.20000076	45.59999847	16.20000076	1.450000048	0.200000003	0.203000009	0.095700003
4002534	4000342	74	102	79.30000305	9.100000381	11.60000038	1.450000048	0.109999999	0.166749999	0.071050003
4002544	4000344	0	3	18.89999962	66.80000305	14.30000019	1.450000048	1.100000024	0.330599993	0.092800006
4002545	4000344	25	30	13.5	66.30000305	20.20000076	1.450000048	0.400000006	0.336400032	0.120350011
4002546	4000344	30	53	13.5	56.40000153	30.10000038	1.450000048	0.230000004	0.353799999	0.166749999
4002547	4000344	53	69	21.79999924	59.40000153	18.79999924	1.450000048	0.109999999	0.301600009	0.129050002
4002548	4000344	69	86	40.40000153	46.59999847	13	1.450000048	0.039999999	0.171100006	0.091350004
4002549	4000344	86	102	53.5	24.79999924	21.70000076	1.450000048	0.039999999	0.116000004	0.104400001
4002557	4000346	0	23	25.79999924	61.79999924	12.39999962	1.450000048	1.220000029	0.330599993	0.133400008
4002558	4000346	23	30	19	64.40000153	16.60000038	1.450000048	0.439999998	0.300150007	0.071050003
4002559	4000346	30	48	17.79999924	58.20000076	24	1.450000048	0.25999999	0.336400032	0.075400002
4002561	4000346	56	71	30.79999924	53.79999924	15.39999962	1.450000048	0.050000001	0.2958	0.140650004
4002562	4000346	71	86	53.90000153	38	8.100000381	1.450000048	0.029999999	0.156600013	0.07395
4002570	4000348	0	25	31.60000038	55.5	12.89999962	1.450000048	1.019999981	0.2755	0.081200004
4002571	4000348	25	33	21.5	58.40000153	20.10000038	1.450000048	0.170000002	0.292900026	0.107300006
4002572	4000348	33	51	24.70000076	51.70000076	23.60000038	1.450000048	0.280000001	0.303050011	0.140650004
4002573	4000348	51	61	28.20000076	54.90000153	16.89999962	1.450000048	0.079999998	0.261000007	0.116000004
4002574	4000348	61	79	24.89999962	58.59999847	16.5	1.450000048	0.07	0.2755	0.117450006
4002575	4000348	79	99	75	20.89999962	4.099999905	1.450000048	0.02	0.107300006	0.033349998
4002579	4000349	0	10	89.80000305	7.800000191	2.400000095	1.450000048	1.340000033	0.263900012	0.058000002
4002580	4000349	10	43	87.90000153	7.900000095	4.199999809	1.450000048	0.370000005	0.142100006	0.049300004
4002581	4000349	43	66	84.19999695	13.19999981	2.599999905	1.450000048	0.079999998	0.111649998	0.030449999
4002582	4000349	66	91	79.40000153	5.900000095	14.69999981	1.450000048	0.119999997	0.182700008	0.117450006
4002583	4000349	91	152	84.40000153	5	10.60000038	1.450000048	0.039999999	0.13485001	0.091350004
4002586	4000350	0	13	78.90000153	19.60000038	1.5	1.450000048	1.159999967	0.324800014	0.049300004
4002587	4000350	13	58	75.59999847	19.5	4.900000095	1.450000048	0.460000008	0.24940002	0.044950001
4002588	4000350	58	79	69.30000305	21.10000038	9.600000381	1.450000048	0.129999995	0.17400001	0.065250002
4002589	4000350	79	99	79	13.5	7.5	1.450000048	0.059999999	0.153700009	0.044950001
4002590	4000350	99	117	94.59999847	3.900000095	1.5	1.450000048	-9.9	0.098600008	0.011600001
4002591	4000350	117	127	87.40000153	5.400000095	7.199999809	1.450000048	0.039999999	0.136299998	0.044950001
4002593	4000351	0	23	72.40000153	22.20000076	5.400000095	1.450000048	1.120000005	0.224750012	0.046400003
4002594	4000351	23	30	69.59999847	23.20000076	7.199999809	1.450000048	0.319999993	0.153700009	0.037700001
4002595	4000351	30	41	62.40000153	28.5	9.100000381	1.450000048	-9.9	0.172549993	0.046400003
4002596	4000351	41	56	56.70000076	30	13	1.450000048	0.230000004	0.195750013	0.071050003
4002597	4000351	56	69	73.5	15.60000038	10.89999962	1.450000048	0.150000006	0.130500004	0.060899999
4002598	4000351	69	91	91.59999847	3.900000095	4.5	1.450000048	0.039999999	0.130500004	0.024650002
4002599	4000352	0	10	87.59999847	8.399999619	4	1.450000048	2.059999943	0.159500003	0.072500005
4002600	4000352	10	66	90.69999695	5.900000095	3.400000095	1.450000048	0.25999999	0.08845	0.018850001
4002601	4000352	66	81	88.09999847	6.300000191	5.599999905	1.450000048	0.100000001	0.100050002	0.030449999
4002602	4000352	81	102	87.59999847	4.900000095	7.5	1.450000048	0.119999997	0.108750001	0.037700001
4002603	4000352	102	157	95.69999695	1.600000024	2.700000048	1.450000048	0.050000001	0.072500005	0.020300001
4002605	4000353	0	13	89.30000305	7.099999905	3.599999905	1.450000048	2.309999943	0.162400007	0.091350004
