name,latitude (Y),longitude (X)
sham13,-18.13906465,20.98355799
sham21,-18.14024212,20.81156234
sham23,-18.1761696,20.85236175
twah11,-17.95406671,16.71153764
twah12,-17.96396078,16.70946888
twah13,-17.96319281,16.67774919
twah21,-17.90427705,16.97139222
twah22,-17.91887836,16.97328492
twah23,-17.91416617,16.97262883
wang11,-17.73319968,16.80576532
wang12,-17.73811185,16.81019896
wang13,-17.43947976,16.70764463
wang21,-17.44379696,16.7319134
wang22,-17.45190999,16.72028994
wang23,-17.73231406,16.81599437
