doi,lat,lng,HWSD_soil,slate_weather,topsoil_texture,landcover,growing_degree_days,soil_depth,old_elevation,new_elevation,africa_sis_sca,africa_sis_twi,slope,precipitation,aridity_index,country,aspect,worldkgeiger,fao_lgp,cereals_suitability_low_input,cereals_suitability_hight_input,namibia_slope (%),namibia_slope_reclassofied,namibia_plane_curvature,namibia_profile_curvature,namibia_dem,namibia_curvature
OH391,-18.09715984,14.06569889,18673,155908,5,41,4888,14,1307,1306,92,15,1,350,2074,516,18,6,5,6,6,0.691997826,1,0,-0.011650708,1307,0.011650708
OH392,-18.16361641,14.01724963,18681,155908,13,41,4888,14,1334,1337,92,13,0,344,2063,516,15,6,5,6,6,1.582659483,1,0.01514592,-0.008155495,1338,0.023301415
OH411,-18.13625087,14.03705775,18681,155908,13,41,4888,14,1320,1319,65535,22,0,346,2059,516,72,6,5,6,6,0.429158807,1,0.023301415,-0.034952123,1321,0.058253538
OH412,-18.14440111,14.04218466,18673,155908,5,41,4888,14,1317,1317,196,16,0,346,2068,516,135,6,5,6,6,0.38385132,1,0,0.011650708,1317,-0.011650708
OH431,-18.12706526,14.04579811,18673,155908,5,41,4888,14,1394,1381,131,11,0,359,2120,516,49,6,5,6,6,15.03036499,5,0.02014284,-0.084713526,1403,0.104856372
OH432,-18.14619796,14.05584645,18673,155908,5,41,4888,14,1334,1369,92,11,1,349,2104,516,178,6,5,6,6,5.579064846,3,0.070914425,-0.1271476,1368,0.198062032
OH471,-18.10828925,14.01902407,18681,155908,13,41,4888,14,1335,1332,65,14,0,349,2084,516,151,6,5,6,6,0.791329741,1,-0.008738031,-0.008738031,1333,0
OH472,-18.1620839,14.04818482,18601,155908,13,41,4888,14,1316,1315,93,14,0,346,2058,516,45,6,5,6,6,0.767702639,1,0,0,1316,0
OH511,-18.10355337,14.03722439,18673,155908,5,41,4888,14,1408,1390,1014,14,0,360,2150,516,13,6,5,6,6,16.13660049,5,0.004119398,0.155578598,1399,-0.151459202
OH512,-18.12794548,14.06193839,18673,155908,5,41,4888,14,1309,1314,184,13,0,347,2059,516,119,6,5,6,6,3.838513136,2,0.003978291,0.038930412,1311,-0.034952123
OH551,-18.13509051,14.02127939,18681,155908,13,41,4888,14,1330,1331,65,14,0,346,2066,516,27,6,5,6,6,1.119109273,1,0.023301415,0,1331,0.023301415
OH552,-18.1669311,14.03916463,18601,155908,13,41,4888,14,1324,1324,92,15,0,344,2057,516,315,6,5,6,6,0.429158807,1,0,-0.011650708,1324,0.011650708
OH571,-18.1197515,14.02860416,18681,155908,13,41,4888,14,1327,1327,261,16,0,349,2081,516,180,6,5,6,6,0.542847753,1,0,-0.011650708,1327,0.011650708
OH572,-18.16018608,14.0508336,18673,155908,5,41,4888,14,1314,1315,553,15,1,346,2076,516,230,6,5,6,6,4.990067005,2,0.005825354,0.075729601,1316,-0.069904245
OH591,-18.1332159,14.04657384,18673,155908,5,41,4888,14,1394,1390,65,11,0,359,2120,516,29,6,5,6,6,10.25860119,4,-0.001491088,-0.199553117,1393,0.198062032
OH592,-18.13752512,14.05205569,18673,155908,5,41,4888,14,1313,1389,92,11,0,348,2082,516,37,6,5,6,6,14.87888145,4,0.117256872,-0.092455864,1384,0.209712744
